"Core","Date","Transect","Position_m","Species","DBH_cm","Straw","Board","Notes","Year","Width_mm"
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2013,0.275800652646072
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2012,0.296000000000003
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2011,0.275878596487656
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2010,0.213037555374633
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2009,0.338000000000001
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2008,0.40354677547962
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2007,0.46647293597807
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2006,0.529120024191108
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2005,0.515062132174362
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2004,0.275800652646074
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2003,0.302839891691963
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2002,0.216120336849636
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2001,0.17511139311878
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",2000,0.257614052411743
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1999,0.212042448580467
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1998,0.233944437847965
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1997,0.328907281767977
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1996,0.240665743303861
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1995,0.257449024080497
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1994,0.175111393118781
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1993,0.194805030735861
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1992,0.216120336849635
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1991,0.216120336849635
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1990,0.257614052411744
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1989,0.343821174449741
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1988,0.171417618697729
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1987,0.14948244044034
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1986,0.261696388970119
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1985,0.191157003533746
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1984,0.302839891691963
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1983,0.241366940569748
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1982,0.221162835937686
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1981,0.221449768570662
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1980,0.282349074728429
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1979,0.207740222393257
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1978,0.241629882257969
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1977,0.17414074767268
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1976,0.221449768570662
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1975,0.175111393118781
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1974,0.257449024080496
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1973,0.215336945274144
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1972,0.170299735760218
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1971,0.085
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1970,0.106
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1969,0.106
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1968,0.128724512040248
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1967,0.148000000000001
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1966,0.216316897167096
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1965,0.275800652646073
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1964,0.323199628712658
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1963,0.341591861729756
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1962,0.344988405602275
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1961,0.410888062615598
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1960,0.491058041375966
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1959,0.577291953867365
"1","9/21/14","T5",0,"PIMA",7.5,1,1,"",1958,0.585929176607548
"10","9/21/14","T5",10,"PIMA",4.2,6,2,"",2013,0.126999999999999
